Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
ROBLIN NORTH,MANITOBA,5012473,3530,,,51.37,-101.4,512200000,-1012400000,587,1980,1986,,,1980,1986,1980,1986
ROSSBURN,MANITOBA,5012500,3531,,,50.67,-100.82,504000000,-1004900000,590.1,1955,1990,,,1955,1990,1955,1990
ROSSBURN 10N,MANITOBA,5012501,3532,,,50.8,-100.83,504800000,-1005000000,533.4,1971,1980,,,1971,1980,1971,1980
RUSSELL,MANITOBA,5012520,3533,,,50.77,-101.28,504600000,-1011700000,567,1883,1990,,,1883,1990,1883,1990
ST ALBANS,MANITOBA,5012540,3534,,,49.7,-99.55,494200000,-993300000,359.7,1885,1960,,,1885,1960,1885,1960
ST ALPHONSE,MANITOBA,5012545,3535,,,49.45,-99.02,492700000,-990100000,403.3,1962,2016,,,1962,2016,1962,2007
ST LAZARE,MANITOBA,5012600,3536,,,50.43,-101.3,502600000,-1011800000,502.9,1954,1954,,,1954,1954,1954,1954
SANDY LAKE,MANITOBA,5012620,3537,,,50.5,-100.1,503000000,-1000600000,624.8,1973,2005,,,1973,2005,1973,2005
SHOAL LAKE CS,MANITOBA,5012654,10927,71150,WUT,50.45,-100.6,502717600,-1003612600,561.3,1993,2024,1994,2024,1993,2024,1996,2007
SHARPE LAKE,MANITOBA,5012661,3538,,,49.05,-100.33,490300000,-1002000000,656.8,1988,1988,,,1988,1988,1988,1988
SHILO,MANITOBA,5012672,3539,71853,WLO,49.78,-99.64,494658000,-993835000,375.2,1954,1999,1954,1999,1954,1970,1954,1970
CFB SHILO CCOC,MANITOBA,5012673,43343,,,49.79,-99.63,494726000,-993743000,372,2004,2005,,,2004,2005,2004,2005
SHOAL LAKE,MANITOBA,5012675,3540,,,50.43,-100.58,502600000,-1003500000,543.5,1883,1900,,,1883,1900,1883,1900
SHOAL LAKE,MANITOBA,5012676,3541,,,50.48,-100.72,502900000,-1004300000,624.8,1966,1977,,,1966,1977,1966,1977
SHOAL LAKE,MANITOBA,5012677,3542,,,50.45,-100.58,502700000,-1003500000,555.3,1978,1983,,,1978,1983,1978,1983
SILVERTON EXP ST,MANITOBA,5012680,3543,,,50.77,-101.15,504600000,-1010900000,571.8,1951,1958,,,1951,1958,1951,1958
SOMERSET,MANITOBA,5012710,3544,,,49.45,-98.62,492700000,-983700000,487.8,1970,1998,,,1970,1998,1970,1998
SOURIS,MANITOBA,5012719,3545,,,49.65,-100.25,493900000,-1001500000,432.8,1982,2006,,,1982,2006,1982,2006
SOURIS,MANITOBA,5012720,3546,,,49.62,-100.27,493700000,-1001600000,426.7,1912,1972,,,1912,1972,1912,1972
SOURIS 2,MANITOBA,5012727,6882,,,49.58,-100.4,493500000,-1002400000,428.2,1992,1996,,,1992,1996,1992,1996
STRATHCLAIR,MANITOBA,5012796,3547,,,50.4,-100.4,502400000,-1002400000,579.1,1962,2013,,,1962,2013,1962,2007
SWAN LAKE,MANITOBA,5012799,3548,,,49.4,-98.78,492400000,-984700000,481.9,1885,1930,,,1885,1930,1885,1930
TREHERNE,MANITOBA,5012930,3549,,,49.63,-98.7,493800000,-984200000,373.4,1885,1978,,,1885,1978,1885,1978
TREHERNE 8N,MANITOBA,5012931,3550,,,49.73,-98.75,494400000,-984500000,337.1,1970,1973,,,1970,1973,1970,1973
TURTLE MOUNTAIN,MANITOBA,5012935,3551,,,49.18,-100.33,491100000,-1002000000,655.3,1883,1907,,,1883,1907,1883,1907
TURTLE MOUNTAIN 1,MANITOBA,5012936,3552,,,49.05,-100.55,490300000,-1003300000,563.9,1978,1979,,,1978,1979,1978,1979
TURTLE MOUNTAIN 2,MANITOBA,5012937,3553,,,49.08,-100.78,490500000,-1004700000,472.1,1978,1986,,,1978,1986,1978,1986
TURTLE MOUNTAIN 3,MANITOBA,5012938,3554,,,49.18,-100.7,491100000,-1004200000,472.4,1978,1992,,,1978,1992,1978,1992
TURTLE MOUNTAIN 4,MANITOBA,5012939,3555,,,49.32,-100.73,491900000,-1004400000,442,1978,1986,,,1978,1986,1978,1986
TURTLE MOUNTAIN 5,MANITOBA,5012940,3556,,,49.35,-100.57,492100000,-1003400000,464.8,1978,1979,,,1978,1979,1978,1979
TURTLE MOUNTAIN 6,MANITOBA,5012941,3557,,,49.3,-100.32,491800000,-1001900000,502.9,1978,2008,,,1978,2008,1978,2007
TURTLE MOUNTAIN 7,MANITOBA,5012942,3558,,,49.32,-100.07,491900000,-1000400000,499.9,1978,1981,,,1978,1981,1978,1981
