Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
DELTA WATERFOWL RS,MANITOBA,5040765,3784,,,50.18,-98.3,501100000,-981800000,247.5,1965,1975,,,1965,1975,1965,1975
DUCK BAY,MANITOBA,5040789,5009,,,52.12,-100.2,520700000,-1001200000,253.8,1991,1994,,,1991,1994,1991,1994
DURBAN CDA EPF,MANITOBA,5040840,3785,,,51.93,-101.4,515600000,-1012400000,419.1,1954,1977,,,1954,1977,1954,1977
EDDYSTONE,MANITOBA,5040854,3786,,,51.08,-99.15,510500000,-990900000,262.1,1971,1971,,,1971,1971,1971,1971
ERIKSDALE,MANITOBA,5040895,3787,,,50.83,-98.23,505000000,-981400000,259.4,1959,1992,,,1959,1992,1959,1992
ERIKSDALE 1,MANITOBA,5040896,3788,,,50.87,-98.13,505200000,-980800000,268.2,1978,1988,,,1978,1988,1978,1988
ERIKSDALE 2,MANITOBA,5040897,3789,,,50.88,-98,505300000,-980000000,267.3,1962,1969,,,1962,1969,1962,1969
ETHELBERT,MANITOBA,5040899,3790,,,51.53,-100.38,513200000,-1002300000,343,1983,2009,,,1983,2009,1983,2006
FAIRFORD,MANITOBA,5040910,3791,,,51.58,-98.67,513500000,-984000000,253,1973,1975,,,1973,1975,1973,1975
FORK RIVER,MANITOBA,5040973,3792,,,51.52,-100.02,513100000,-1000100000,266.7,1982,2001,,,1982,2001,1982,2001
GILBERT PLAINS,MANITOBA,5040985,3793,,,51.1,-100.47,510600000,-1002800000,403.9,1934,2016,,,1934,2016,1934,2007
GILBERT PLAINS 2,MANITOBA,5040986,3794,,,51.17,-100.48,511000000,-1002900000,388.9,1980,1982,,,1980,1982,1980,1982
CAYER,MANITOBA,5040EN5,3765,,,51.25,-99.08,511500000,-990500000,259.1,1972,1981,,,1972,1981,1972,1981
COWAN,MANITOBA,5040FJ3,3766,,,52.03,-100.65,520200000,-1003900000,365.8,1984,2023,,,1984,2023,1984,2007
ASHERN NORTHWEST,MANITOBA,5040JK0,3767,,,51.2,-98.38,511200000,-982300000,266.7,1989,2001,,,1989,2001,1989,2001
FORK RIVER NORTH,MANITOBA,5040R73,3768,,,51.57,-99.98,513400000,-995900000,259.7,1982,2002,,,1982,2002,1982,2002
GLADSTONE,MANITOBA,5041049,3797,,,50.22,-98.95,501300000,-985700000,270.4,1990,1998,,,1990,1998,1990,1998
GLADSTONE,MANITOBA,5041050,3798,,,50.37,-98.97,502200000,-985800000,271.3,1961,1976,,,1961,1976,1961,1976
GLADSTONE SOUTH,MANITOBA,50410N0,3796,,,50.18,-99.02,501100000,-990100000,281.9,1973,1990,,,1973,1990,1973,1990
GRANDVIEW,MANITOBA,5041116,3799,,,51.12,-100.7,510700000,-1004200000,442,1977,2003,,,1977,2003,1977,2003
GRANDVIEW CDA EPF,MANITOBA,5041120,3800,,,51.18,-100.8,511100000,-1004800000,464.5,1951,1970,,,1951,1970,1951,1970
GRASS RIVER,MANITOBA,5041140,3801,,,50.52,-98.97,503100000,-985800000,269.7,1958,1997,,,1958,1997,1958,1997
GYPSUMVILLE,MANITOBA,5041229,3802,,,51.67,-98.73,514000000,-984400000,265.2,1966,1987,1966,1987,1966,1980,1966,1980
GYPSUMVILLE 2,MANITOBA,5041230,3803,,,51.73,-98.67,514400000,-984000000,260.3,1959,1966,,,1959,1966,1959,1966
GYPSUMVILLE EAST,MANITOBA,5041233,3804,,,51.73,-98.53,514400000,-983200000,246.9,1982,1982,,,1982,1982,1982,1982
GYPSUMVILLE OLENDER,MANITOBA,5041237,3805,,,51.77,-98.63,514600000,-983800000,252.1,1982,1984,,,1982,1984,1982,1984
KATRIME EXP ST,MANITOBA,5041400,3806,,,50.08,-98.68,500500000,-984100000,270.4,1951,1960,,,1951,1960,1951,1960
KELWOOD,MANITOBA,5041425,3807,,,50.62,-99.47,503700000,-992800000,352,1959,1993,,,1959,1993,1959,1993
KENVILLE EXP ST,MANITOBA,5041440,3808,,,52,-101.32,520000000,-1011900000,387.4,1951,1960,,,1951,1960,1951,1960
KERGWENAN,MANITOBA,5041450,3809,,,50.95,-99.53,505700000,-993200000,280.4,1982,1986,,,1982,1986,1982,1986
LAKE DAUPHIN,MANITOBA,5041523,3810,,,51.2,-99.55,511200000,-993300000,263.7,1984,1989,,,1984,1989,1984,1989
LAKELAND,MANITOBA,5041525,3811,,,50.27,-98.67,501600000,-984000000,256,1970,1975,,,1970,1975,1970,1975
LAKE MANITOBA NARROWS,MANITOBA,5041527,3812,,,51.08,-98.78,510500000,-984700000,251.5,1977,1978,,,1977,1978,1978,1978
LANGRUTH,MANITOBA,5041530,3813,,,50.4,-98.55,502400000,-983300000,250,1970,2001,,,1970,2001,1970,2001
LANGRUTH WEST,MANITOBA,5041535,31088,,,50.41,-98.8,502450000,-984810000,264.3,2001,2005,,,2001,2005,2001,2005
LENSWOOD EXP ST,MANITOBA,5041560,3814,,,52.53,-101,523200000,-1010000000,304.8,1951,1958,,,1951,1958,1951,1958
LUNDAR,MANITOBA,5041587,3815,,,50.75,-97.93,504500000,-975600000,266.7,1969,2000,,,1969,2000,1969,2000
LUNDAR 4SW,MANITOBA,5041588,3816,,,50.65,-98.1,503900000,-980600000,251.5,1970,1988,,,1970,1988,1970,1988
LUNDAR EAST,MANITOBA,5041589,30554,,,50.72,-97.85,504302000,-975115000,269.7,2000,2007,,,2000,2007,2000,2007
MACDONALD,MANITOBA,5041670,3817,,,50.17,-98.5,501000000,-983000000,249.9,1967,2008,,,1967,2008,1967,2007
MACGREGOR SOUTH,MANITOBA,5041680,31107,,,49.85,-98.83,495050000,-985000000,361.8,2001,2007,,,2001,2007,2001,2007
MACGREGOR,MANITOBA,5041683,3818,,,49.88,-98.82,495300000,-984900000,320,1969,1972,,,1969,1972,1969,1972
MACGREGOR,MANITOBA,5041684,3819,,,49.9,-98.7,495400000,-984200000,300.8,1973,1996,,,1973,1996,1973,1996
MAFEKING,MANITOBA,5041685,3820,,,52.67,-101.1,523959030,-1010552020,325,1983,2024,,,1983,2024,1983,2007
MAGNET,MANITOBA,5041686,3821,,,51.32,-99.48,511900000,-992900000,263.7,1982,2004,,,1982,2004,1982,2004
MCCREARY,MANITOBA,5041707,3822,,,50.73,-99.42,504400000,-992500000,297.2,1973,1994,,,1973,1994,1973,1994
MEADOW PORTAGE,MANITOBA,5041711,3823,,,51.72,-99.55,514300000,-993300000,249.6,1970,1988,,,1970,1988,1970,1988
MOOSEHORN,MANITOBA,5041800,3824,,,51.3,-98.62,511800000,-983700000,249.9,1910,1966,,,1910,1966,1910,1966
MOOSEHORN,MANITOBA,5041801,3825,,,51.28,-98.4,511700000,-982400000,269.1,1982,1984,,,1982,1984,1982,1984
MOOSEHORN COOK,MANITOBA,5041804,3826,,,51.28,-98.42,511700000,-982500000,265.2,1982,1993,,,1982,1993,1982,1993
MOUNTAIN GAP,MANITOBA,5041970,3827,,,51.13,-100.75,510800000,-1004500000,460.2,1977,1977,,,1977,1977,1977,1977
MULVILHILL,MANITOBA,5041973,6895,,,50.95,-98.2,505700000,-981200000,266.7,1991,1995,,,1991,1995,1991,1995
HILBRE,MANITOBA,5041B9B,3795,,,51.5,-98.6,513000000,-983600000,251.5,1982,1983,,,1982,1983,1982,1983
NEEPAWA A,MANITOBA,5042000,3829,,,50.23,-99.5,501400000,-993000000,388,1945,1962,,,1945,1962,1945,1962
NEEPAWA CSC,MANITOBA,5042003,3830,,,50.23,-99.47,501400000,-992800000,368.8,1962,1969,,,1962,1969,1962,1969
NEEPAWA MURRAY 6 SOUTHWEST,MANITOBA,5042004,3831,,,50.15,-99.57,500900000,-993400000,411.5,1986,2008,,,1986,2008,1986,2007
NEEPAWA WATER,MANITOBA,5042005,3832,,,50.22,-99.47,501300000,-992800000,358.1,1969,2008,,,1969,2008,1969,2007
OVERFLOWING RIVER,MANITOBA,5042058,3834,,,53.15,-101.1,530900000,-1010600000,257.9,1984,1993,,,1984,1993,1984,1993
OCHRE RIVER SOUTH,MANITOBA,504205E,3833,,,50.98,-99.78,505900000,-994700000,315.2,1979,1980,,,1979,1980,1979,1980
PAULSON,MANITOBA,5042062,3835,,,51.13,-99.83,510800000,-995000000,274,1945,1945,,,1945,1945,1945,1945
OCHRE RIVER,MANITOBA,50420E5,3828,,,51.07,-99.78,510400000,-994700000,280.4,1970,2005,,,1970,2005,1970,2005
PINE RIVER,MANITOBA,5042166,7314,,,51.8,-100.57,514800000,-1003400000,378,2001,2005,,,2001,2005,2001,2005
PINE RIVER,MANITOBA,5042167,3836,,,51.72,-100.32,514300000,-1001900000,312.4,1963,1967,,,1963,1967,1963,1967
PINE RIVER,MANITOBA,5042168,3837,,,51.77,-100.32,514600000,-1001900000,302.1,1970,1984,,,1970,1984,1970,1984
PINE RIVER,MANITOBA,5042169,3838,,,51.8,-100.57,514800000,-1003400000,378,1981,2002,,,1981,2002,1981,2002
PLUMAS,MANITOBA,5042240,3839,,,50.37,-99.08,502200000,-990500000,281,1951,1994,,,1951,1994,1951,1994
PLUMAS,MANITOBA,5042241,3840,,,50.42,-99.03,502500000,-990200000,275.8,1970,1988,,,1970,1988,1970,1988
RIDING MOUNTAIN PARK,MANITOBA,5042425,3841,,,50.7,-99.68,504200000,-994100000,756.2,1960,1983,,,1960,1983,1960,1983
RORKETON WEST,MANITOBA,5042485,3842,,,51.43,-99.73,512600000,-994400000,266.4,1982,2003,,,1982,2003,1982,2003
RUSSELL BARNARDO,MANITOBA,5042522,3843,,,50.98,-101.33,505900000,-1012000000,557.8,1895,1906,,,1895,1906,1895,1906
ST AMBROISE,MANITOBA,5042546,3844,,,50.23,-98.03,501400000,-980200000,251.5,1970,2004,,,1970,2004,1970,2004
ST LAURENT,MANITOBA,5042596,3845,,,50.42,-97.63,502500000,-973800000,266.7,1980,1982,,,1980,1982,1981,1982
STE ROSE,MANITOBA,5042610,3846,,,51.03,-99.38,510200000,-992300000,274.3,1975,2009,,,1975,2009,1975,2007
SIDNEY,MANITOBA,5042678,3847,,,49.9,-99.08,495400000,-990500000,373.4,1989,1990,,,1989,1990,1989,1990
STEEP ROCK,MANITOBA,5042774,3848,,,51.45,-98.8,512700000,-984800000,249.9,1960,2001,,,1960,2001,1960,2001
SWAN RIVER,MANITOBA,5042800,3849,,,52.05,-101.22,520300000,-1011300000,346.6,1904,2008,,,1904,2008,1904,2006
SWAN RIVER 2,MANITOBA,5042805,3850,,,51.98,-101.18,515900000,-1011100000,411.5,1967,1998,,,1967,1998,1967,1998
TOBARMORE,MANITOBA,5042927,3851,,,50.47,-99.45,502800000,-992700000,367.5,1986,1986,,,1986,1986,1986,1986
VOGAR,MANITOBA,5043020,3852,,,50.92,-98.75,505500000,-984500000,249.6,1966,2008,,,1966,2008,1966,2007
MCCREARY,MANITOBA,5043158,3853,71149,WOO,50.71,-99.53,504243001,-993148003,351,1971,2024,1997,2024,1971,2024,1971,2007
WINNIPEGOSIS,MANITOBA,5043225,3854,,,51.65,-99.93,513900000,-995600000,257.6,1982,2007,,,1982,2007,1982,2007
WINNIPEGOSIS SOUTH EAST,MANITOBA,5043226,3855,,,51.6,-99.88,513600000,-995300000,257.6,1982,1999,,,1982,1995,1982,1999
HILBRE SOUTH,MANITOBA,504AB92,3762,,,51.47,-98.57,512800000,-983400000,249.9,1982,1983,,,1982,1983,1982,1983
GYPSUMVILLE,MANITOBA,504AKCQ,3763,,,51.77,-98.63,514600000,-983800000,259.7,1985,1991,,,1985,1991,1985,1991
OAK POINT,MANITOBA,504B0NM,3764,,,50.5,-98.02,503000000,-980100000,250.2,1973,1992,,,1973,1992,1973,1992
OAKPOINT MARINE,MANITOBA,504K0NM,10881,71144,WOJ,50.5,-98.04,502958044,-980212030,249.6,1994,2024,1994,2024,1994,2024,1996,2007
SWAN RIVER RCS,MANITOBA,504K80K,10188,71443,WEQ,52.11,-101.23,520653900,-1011358500,334.8,1993,2024,1994,2024,1993,2024,1996,2007
CRANBERRY PORTAGE,MANITOBA,5050620,3856,,,54.62,-101.35,543700000,-1012100000,306,1957,1963,,,1957,1963,1957,1963
FLIN FLON,MANITOBA,5050919,10213,71954,WFO,54.68,-101.68,544100000,-1014100000,303.9,1994,2024,1994,2024,1996,2024,1996,2007
FLIN FLON,MANITOBA,5050920,3857,,,54.77,-101.88,544600000,-1015300000,320,1927,2024,,,1927,2024,1927,2007
FLIN FLON A,MANITOBA,5050960,3858,,YFO,54.68,-101.68,544100000,-1014100000,303.9,1954,2017,1954,2014,1968,2017,1968,2007
FLIN FLON A,MANITOBA,5050961,52578,,YFO,54.68,-101.68,544041000,-1014055000,304.2,2014,2024,2014,2024,,,,
FLIN FLON CFB,MANITOBA,5050970,3859,,,54.68,-101.97,544100000,-1015800000,304.8,1959,1971,,,1959,1971,1959,1971
FLIN FLON A,MANITOBA,5050973,52961,,YFO,54.68,-101.68,544041000,-1014055000,304.2,2014,2024,2014,2024,2018,2024,,
HUNTERS POINT MARINE,MANITOBA,5051311,10885,,WHH,53.03,-100.93,530139000,-1005605000,256.1,1994,2005,1994,2005,1994,2005,1996,2004
NAMEW LAKE,MANITOBA,5051986,3860,,,54.22,-101.78,541300000,-1014700000,290,1986,1991,,,1986,1991,1986,1991
PASQUIA PROJECT,MANITOBA,5052060,3862,,,53.72,-101.53,534300000,-1013200000,262.1,1956,2005,,,1956,2005,1956,2005
OONIKUP,MANITOBA,50520EE,3861,,,53.5,-101.33,533000000,-1012000000,,1889,1903,,,1889,1903,1889,1893
THE PAS,MANITOBA,5052864,3863,,,53.82,-101.25,534900000,-1011500000,271.3,1910,1969,,,1910,1969,1910,1969
THE PAS A,MANITOBA,5052880,3864,71867,YQD,53.97,-101.1,535800000,-1010600000,270.36,1943,2014,1953,2014,1943,2014,1943,2014
THE PAS A,MANITOBA,5052881,52438,,YQD,53.97,-101.09,535817000,-1010528000,270.6,2014,2018,2014,2018,2014,2018,,
THE PAS A,MANITOBA,5052882,54279,71867,YQD,53.97,-101.09,535817000,-1010528000,270.6,2016,2024,2016,2024,2018,2024,,
THE PAS CLIMATE,MANITOBA,5052890,43983,71695,PQD,53.97,-101.1,535800000,-1010600000,274,2005,2024,2005,2024,2005,2024,2007,2007
THE PAS CDA EPF,MANITOBA,5052896,3865,,,53.82,-101.25,534900000,-1011500000,271.3,1951,1964,,,1951,1964,1951,1964
WANLESS,MANITOBA,5053080,3866,,,54.18,-101.37,541100000,-1012200000,271.3,1935,1995,,,1935,1995,1935,1995
BIRD,MANITOBA,5060220,3869,,,56.5,-94.2,563000000,-941200000,86.9,1957,1963,1957,1963,1957,1963,1957,1963
BROCHET A,MANITOBA,5060520,3870,,,57.89,-101.68,575310400,-1014053200,346.3,1948,2009,1953,1979,1948,2009,1948,2007
BURNTWOOD RIVER,MANITOBA,5060531,29774,,,55.5,-99.22,553000000,-991300000,215,2000,2002,,,2000,2002,2000,2002
CHURCHILL A,MANITOBA,5060595,48969,71618,YYQ,58.74,-94.07,584421000,-940359000,29.3,2010,2024,2010,2024,2010,2024,,
CHURCHILL A,MANITOBA,5060600,3871,,YYQ,58.74,-94.07,584421000,-940359000,29.26,1943,2012,1953,2012,1943,2008,1943,2007
CHURCHILL AWOS,MANITOBA,5060601,47408,,,58.74,-94.06,584414000,-940326000,28.7,2008,2010,2008,2010,2008,2010,,
CHURCHILL MARINE,MANITOBA,5060602,3872,,,58.78,-94.18,584700000,-941100000,13.4,1929,1951,,,1929,1951,1929,1951
CHURCHILL A,MANITOBA,5060605,50148,71618,YYQ,58.74,-94.07,584421000,-940359000,29.3,2012,2024,2012,2024,2018,2024,,
CHURCHILL UA,MANITOBA,5060606,10745,71913,,58.73,-94.07,584400000,-940400000,28.5,2000,2015,,,2000,2015,2000,2007
CHURCHILL CLIMATE,MANITOBA,5060608,44244,71696,PYQ,58.73,-94.07,584400000,-940400000,28.5,2005,2024,2005,2024,2005,2024,2005,2007
CONLIN LAKE WABOWDEN,MANITOBA,5060613,3873,,,54.83,-98.67,545000000,-984000000,221,1977,1978,,,1977,1978,1977,1978
CROSS LAKE A,MANITOBA,5060621,3874,,,54.62,-97.77,543700000,-974600000,216.1,1987,2010,,,1987,2010,1987,2007
CROSS LAKE JENPEG 2,MANITOBA,5060622,54658,71106,PJP,54.54,-98.03,543223000,-980149000,218.8,2017,2024,2017,2024,2017,2024,,
CROSS LAKE JENPEG,MANITOBA,5060623,3875,,,54.54,-98.03,543223000,-980149000,218.8,1972,2018,2017,2018,1972,2017,1972,2007
JENPEG,MANITOBA,5060624,55364,73048,PJN,54.52,-98.04,543126000,-980229000,221,2023,2024,2023,2024,2023,2024,,
DENBEIGH POINT,MANITOBA,5060766,3876,,,55.4,-99.78,552400000,-994700000,256,1990,1990,,,1990,1990,1990,1990
GILLAM,MANITOBA,5060999,10217,73087,WGX,56.36,-94.7,562132028,-944215024,145.3,1994,2024,1994,2024,1996,2024,1996,2007
GILLAM,MANITOBA,5061000,3877,,,56.35,-94.7,562100000,-944200000,138.4,1943,1964,1953,1961,1943,1964,1943,1964
GILLAM A,MANITOBA,5061001,3878,71912,YGX,56.36,-94.71,562127000,-944238000,145.1,1970,2014,1970,2014,1970,2014,1970,2014
GILLAM A,MANITOBA,5061022,52758,71912,YGX,56.36,-94.71,562128000,-944239000,145.1,2014,2024,2014,2024,2014,2024,,
GILLAM A,MANITOBA,5061025,53698,,YGX,56.36,-94.71,562128000,-944239000,145.1,2015,2023,2015,2023,2018,2023,,
GODS LAKE NARROWS A,MANITOBA,5061067,3879,,,54.55,-94.48,543300000,-942900000,189,1985,2002,,,1985,2002,1985,2002
ISLAND LAKE A,MANITOBA,5061374,54278,71145,YIV,53.86,-94.65,535126000,-943913000,235.3,2016,2024,2016,2024,2018,2024,,
ISLAND LAKE A,MANITOBA,5061375,53398,,YIV,53.86,-94.65,535126000,-943913000,235.3,2015,2021,2015,2021,2015,2021,,
ISLAND LAKE A,MANITOBA,5061376,3880,71145,YIV,53.85,-94.65,535100000,-943900000,235.6,1970,2015,1970,2015,1970,2015,1970,2015
ISLAND LAKE (AUT),MANITOBA,5061377,7327,,,53.87,-94.67,535200000,-944000000,239.3,1979,1986,1979,1986,,,,
ISLAND LAKE AIRPORT,MANITOBA,5061378,55366,73100,PIV,53.86,-94.65,535122000,-943915000,234,2023,2024,2023,2024,2023,2024,,
KELSEY DAM CS,MANITOBA,5061422,29533,71572,ZKD,56.04,-96.51,560215000,-963035000,182.9,2000,2024,2000,2024,2000,2024,2000,2007
KELSEY HYDRO,MANITOBA,5061423,3881,,,56.03,-96.53,560200000,-963200000,182.9,1983,1995,,,1983,1995,1983,1995
KETTLE GS,MANITOBA,5061460,3882,,,56.38,-94.65,562300000,-943900000,145.4,1966,1973,,,1966,1973,1966,1973
LAURIE RIVER POWER SITE,MANITOBA,5061540,3883,,,56.23,-100.98,561400000,-1005900000,304.8,1960,1970,,,1960,1970,1960,1970
LEAF RAPIDS,MANITOBA,5061550,6896,,,56.47,-100.02,562800000,-1000100000,282,1991,1996,,,1991,1996,1991,1996
LIMESTONE GS,MANITOBA,5061567,3884,,,56.5,-94.18,563000000,-941100000,88.4,1985,1992,,,1985,1992,1985,1992
LITTLE BEAVER RIVER,MANITOBA,5061575,29793,,,57.65,-95.67,573900000,-954000000,245,2000,2004,,,2000,2004,2000,2001
LONG SPRUCE GEN STN,MANITOBA,5061581,3885,,,56.38,-94.37,562300000,-942200000,105.2,1974,1979,,,1974,1979,1976,1979
LYNN LAKE,MANITOBA,5061640,3886,,,56.85,-101.03,565100000,-1010200000,339.9,1952,1967,,,1952,1967,1952,1967
LYNN LAKE,MANITOBA,5061645,48588,71078,YYL,56.86,-101.08,565150000,-1010434000,356.6,2010,2024,2010,2024,2010,2024,,
LYNN LAKE A,MANITOBA,5061646,3887,,,56.86,-101.08,565150000,-1010434000,356.6,1959,2005,1959,2005,1968,2005,1968,2005
LYNN LAKE,MANITOBA,5061648,44085,,PNK,56.86,-101.08,565150000,-1010434000,356.6,2005,2014,2005,2010,2005,2014,2005,2007
LYNN LAKE RCS,MANITOBA,5061649,48728,71632,PLE,56.85,-101.07,565100420,-1010400005,354.2,2010,2024,2010,2024,2010,2024,,
MISSI,MANITOBA,5061765,29794,,,57.32,-98.17,571900000,-981000000,265,2000,2007,,,2000,2007,2000,2007
MISSI FALLS,MANITOBA,5061766,3888,,,57.32,-98.1,571900000,-980600000,266.7,1973,1976,,,1973,1976,1973,1976
MOAK LAKE,MANITOBA,5061770,3889,,,55.92,-97.58,555500000,-973500000,196,1980,1983,,,1980,1983,1980,1983
NORWAY HOUSE,MANITOBA,5062040,48951,71410,YNE,53.96,-97.84,535730000,-975039000,223.7,2010,2024,2010,2024,2010,2024,,
NORWAY HOUSE,MANITOBA,5062045,44083,,,53.97,-97.85,535800000,-975100000,223.7,2005,2010,2005,2010,2005,2010,2005,2007
NORWAY HOUSE,MANITOBA,5062047,3890,,,53.98,-97.83,535900000,-975000000,217,1884,1968,,,1884,1968,1896,1968
NOTIGI,MANITOBA,5062049,3891,,,55.9,-99.37,555400000,-992200000,262.1,1973,1975,,,1973,1975,1973,1975
OXFORD HOUSE A,MANITOBA,5062059,3892,,,54.77,-95.27,544600000,-951600000,204.8,1985,1985,,,1985,1985,1985,1985
PICKEREL NARROWS,MANITOBA,5062075,3893,,,56.22,-100.58,561300000,-1003500000,265.2,1963,1978,,,1963,1978,1963,1978
PIKWITONEI A,MANITOBA,5062111,3894,,,55.58,-97.17,553500000,-971000000,192,1987,1995,,,1987,1995,1987,1995
PONTON,MANITOBA,5062251,3895,,,54.67,-99.17,544000000,-991000000,259.1,1981,1981,,,1981,1981,1981,1981
PORT NELSON,MANITOBA,5062327,3896,,,57,-92.85,570000000,-925100000,14.9,1915,1934,,,1915,1934,1915,1929
RAT RIVER,MANITOBA,5062336,29795,,,56.13,-99.48,560800000,-992900000,250,2000,2001,,,2000,2001,2000,2001
RED SUCKER LAKE A,MANITOBA,5062337,3897,,,54.17,-93.55,541000000,-933300000,227.56,1985,1989,,,1985,1989,1985,1987
REINDEER LAKE,MANITOBA,5062350,29796,,,57.88,-101.67,575300000,-1014000000,225,2000,2001,,,2000,2001,2000,2001
RUTTAN LAKE,MANITOBA,5062528,3898,,,56.62,-99.62,563700000,-993700000,304.8,1971,1972,,,1971,1972,1971,1972
RUTTAN LAKE,MANITOBA,5062529,3899,,,56.48,-99.65,562900000,-993900000,288.6,1973,1991,,,1973,1991,1973,1991
SHAMATTAWA A,MANITOBA,5062656,3900,,,55.87,-92.08,555200000,-920500000,89.9,1985,1985,,,1985,1985,,
SNOW LAKE,MANITOBA,5062706,3901,,,54.88,-100.03,545300000,-1000200000,295.7,1983,1998,,,1983,1998,1983,1998
SNOW LAKE ANDERSON BAY,MANITOBA,5062707,27870,,,54.82,-99.95,544900000,-995700000,259,1999,2000,,,1999,2000,1999,2000
SOUTH BAY,MANITOBA,5062730,3902,,,56.67,-99,564000000,-990000000,282.9,1973,1976,,,1973,1976,1973,1976
SOUTH INDIAN LAKE,MANITOBA,5062734,3903,,,56.78,-98.97,564700000,-985800000,259.1,1976,1989,,,1976,1989,1976,1989
SOUTH INDIAN LAKE AIRPORT,MANITOBA,5062736,3904,,,56.8,-98.9,564800000,-985400000,289,1989,1998,,,1989,1998,1989,1998
SPLIT LAKE,MANITOBA,5062751,29797,,,56.25,-96.1,561500000,-960600000,60,2000,2000,,,2000,2000,2000,2000
TADOULE LAKE,MANITOBA,5062835,48972,71272,YBQ,58.71,-98.51,584222000,-983044000,281.3,2011,2024,2011,2024,2011,2024,,
TADOULE LAKE CS,MANITOBA,5062840,30475,71334,XBQ,58.72,-98.5,584257000,-983006000,262.01,2000,2024,2000,2024,2000,2024,2000,2007
THOMPSON AIRPORT,MANITOBA,5062918,55138,73072,PTO,55.8,-97.88,554756000,-975236000,214,2020,2024,2020,2024,2020,2024,,
THOMPSON A,MANITOBA,5062921,53118,71079,YTH,55.8,-97.86,554817000,-975145000,224,2013,2024,2014,2024,2013,2024,,
THOMPSON A,MANITOBA,5062922,3905,71079,YTH,55.8,-97.86,554812000,-975145000,224.03,1967,2014,1967,2014,1967,2014,1967,2007
THOMPSON NRC,MANITOBA,5062923,3906,,,55.73,-97.85,554400000,-975100000,212.8,1966,1969,,,1966,1969,1966,1969
THOMPSON SOUTH,MANITOBA,5062925,3907,,,55.73,-97.85,554400000,-975100000,199.9,1979,1979,,,1979,1979,1979,1979
THOMPSON ZOO,MANITOBA,5062926,3908,,,55.75,-97.87,554507062,-975158068,205.7,1990,2013,,,1990,2013,1990,2007
WABOWDEN,MANITOBA,5063040,3909,,,54.92,-98.63,545500000,-983800000,232.9,1943,1971,1953,1971,1943,1971,1943,1971
WABOWDEN,MANITOBA,5063041,3910,,,54.92,-98.65,545500000,-983900000,231.6,1982,2001,,,1982,2001,1982,2001
WABOWDEN 2,MANITOBA,5063044,31169,,,54.93,-98.66,545538800,-983937500,231.6,2001,2008,,,2001,2008,2001,2007
WALKER LAKE,MANITOBA,5063075,29553,,,54.78,-97,544700000,-970000000,200,1999,2007,,,1999,2007,1999,2007
WASKWATIM LAKE,MANITOBA,5063121,29555,,,55.55,-98.6,553300000,-983600000,260,1999,2007,,,1999,2007,2000,2006
WHISKEY JACK,MANITOBA,5063148,3911,,,54.43,-98.02,542600000,-980100000,221,1971,1972,,,1971,1972,1971,1972
YORK FACTORY,MANITOBA,5063350,3912,,,57,-92.3,570000000,-921800000,6,1874,2007,,,1874,2007,1874,2007
NORWAY HOUSE A,MANITOBA,506B047,3868,,,53.95,-97.85,535700000,-975100000,223.7,1973,2005,1973,2005,1973,2005,1973,2005
NORWAY HOUSE FORESTRY,MANITOBA,506B0M7,3867,,,54,-97.8,540000000,-974800000,217,1970,2000,,,1970,2000,1970,2000
